artist_count,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,liveness_%
1,21081,43,1687664027,112,G,Major,92,67,66,0,36
3,437,31,11599388,97,,Major,79,92,89,5,6
2,1275,32,611700552,90,F,Minor,59,52,48,38,10
2,6135,38,1133865788,80,D#,Minor,65,27,69,8,53
1,20015,16,1089402494,172,A,Major,45,33,59,6,8
1,1507,14,411747614,120,E,Major,60,24,35,73,31
1,539,21,255932395,140,G,Minor,74,96,80,18,5
1,86,8,31873544,128,A,Minor,81,90,77,1,9
1,324,14,95053634,122,,Major,78,70,81,57,10
2,17138,37,1279434863,130,,Major,47,86,92,8,5
2,894,9,233801632,160,A,Major,69,61,71,33,31
1,1622,9,1481349984,144,F,Major,73,87,70,6,28
3,561,14,142095275,192,B,Major,50,85,52,11,28
2,5871,27,618885532,163,,Major,54,40,67,0,9
1,29215,43,2011464183,122,C#,Minor,66,48,71,6,12
1,5866,24,1167330737,154,D,Major,61,41,74,21,40
1,3859,26,929964809,117,A,Minor,73,31,69,6,11
2,961,26,436027885,138,G,Minor,78,89,83,10,12
1,6457,18,657723613,96,,Major,86,74,80,33,8
3,43257,24,2713922350,104,C#,Major,77,36,63,1,36
1,4564,16,621660989,164,G#,Major,45,24,62,8,16
1,12688,13,1591223784,118,,Major,68,61,82,2,50
1,13801,19,950906471,81,B,Minor,68,51,60,3,19
1,22439,19,1593270737,117,C#,Major,82,73,45,54,7
1,18515,35,1410088830,174,D,Major,45,10,37,97,64
2,36843,21,1235005533,128,C#,Major,73,60,77,3,11
1,2420,11,1661187319,145,,Major,60,43,27,94,14
1,5897,19,1374581173,150,C#,Minor,65,51,55,73,14
3,727,16,94186466,90,A,Minor,60,13,53,4,21
1,33783,26,1788326445,85,F,Major,55,42,53,17,22
1,26694,13,1840364617,180,D#,Major,33,38,71,20,28
1,356,16,143573775,166,C#,Major,57,84,94,11,37
1,6518,17,684675814,160,G#,Major,71,40,50,16,16
1,21335,13,1113838873,160,G,Major,65,95,80,5,41
1,23389,29,1267333350,92,D,Major,70,81,63,4,8
1,3202,18,726307468,170,,Major,56,53,64,11,45
1,32181,10,3562543890,96,C#,Minor,83,93,65,58,9
1,7124,18,1131090940,120,G#,Major,67,40,52,86,12
2,592,14,307370144,98,,Major,70,37,54,6,9
1,36724,7,1271293243,92,G,Major,53,12,34,1,12
1,794,10,265882712,150,A,Major,34,24,56,4,11
1,13091,17,841749534,94,F,Major,37,17,47,2,11
1,67,8,47956378,90,E,Minor,74,36,63,26,27
1,21574,30,806397070,160,A,Major,54,54,55,67,42
1,19664,16,2132335812,120,,Major,70,59,75,24,9
1,21106,13,1641426668,109,F,Major,63,46,85,1,9
1,23804,31,2135158446,129,E,Minor,57,41,66,63,12
2,849,22,367316268,157,G,Major,54,75,60,30,7
1,2619,12,350381515,130,F#,Major,63,49,73,5,9
1,9037,42,1264310836,107,F,Minor,65,19,72,10,13
1,86,11,30343206,146,B,Minor,50,67,89,0,19
1,1788,14,405136812,139,A,Minor,48,37,41,32,10
1,15890,14,1145727611,116,,Major,74,76,70,7,13
1,492,36,540654286,95,F#,Minor,84,52,77,12,7
4,773,33,57312735,170,G#,Minor,62,55,80,15,37
1,1154,22,397582059,134,F#,Minor,81,18,64,3,10
1,44927,17,1479115056,84,F#,Minor,57,86,90,2,9
4,551,4,86773632,146,B,Minor,61,20,48,21,12
5,577,14,133753727,74,A#,Minor,53,24,67,11,10
1,955,29,123124076,144,B,Major,75,35,48,84,10
3,995,19,463564958,136,B,Minor,77,79,73,15,27
3,178,6,64533040,100,E,Major,56,53,55,53,12
1,290,19,65496046,105,F,Minor,89,67,78,9,7
1,547,0,68616963,106,F,Major,67,24,78,15,30
2,681,10,161460990,132,D,Major,85,53,68,40,9
2,332,5,70106975,120,A,Major,78,5,30,21,13
2,1197,13,113509496,155,C#,Major,82,51,39,2,9
2,262,5,89933133,129,G#,Major,70,42,43,78,11
2,161,6,71007139,135,F,Minor,80,85,74,62,8
2,185,3,43522589,98,A#,Minor,73,45,62,28,13
1,839,18,232896922,124,A,Minor,84,64,39,3,11
3,259,0,37126685,135,A,Minor,77,28,55,18,22
1,2915,30,195576623,107,D,Major,78,39,53,30,11
2,5129,25,532336353,96,D,Major,54,25,74,14,9
2,3794,34,538115192,123,G#,Major,71,58,70,30,32
2,588,0,46142772,90,G#,Major,62,7,62,6,58
3,2959,16,401036314,117,F,Minor,72,45,59,14,20
2,291,8,127026613,133,A,Minor,78,90,84,31,7
1,2321,36,345031710,96,G#,Minor,74,61,83,11,35
2,536,10,288101651,149,G#,Major,66,85,60,40,14
2,359,2,60350538,110,F#,Minor,66,32,40,81,11
1,4096,6,335074782,105,F#,Major,95,62,52,3,5
1,349,69,76767396,105,C#,Major,80,69,78,28,11
2,381,5,46065667,134,B,Major,76,61,58,6,16
1,2461,36,459276435,170,E,Minor,71,59,56,4,27
2,277,1,39666245,81,F#,Major,59,26,60,46,25
2,967,5,138517666,154,F#,Major,63,75,92,31,91
1,8186,12,822633917,169,C#,Major,69,69,51,63,38
1,7842,10,595900742,115,G,Major,78,64,69,4,7
2,215,6,51985779,84,A,Minor,43,14,74,1,19
2,1134,22,57945987,93,G#,Major,79,58,62,11,11
2,1305,34,115010040,91,G,Major,82,47,62,10,10
1,2066,6,175097833,142,A#,Minor,82,54,44,6,33
2,896,0,57089066,126,C#,Major,78,20,70,1,16
1,3763,8,488386797,97,A#,Major,73,10,44,26,16
5,197,0,32761689,101,F,Major,92,59,51,41,26
1,4004,33,1047480053,98,G,Minor,80,23,48,14,6
1,984,5,153454328,154,F#,Major,59,63,89,18,80
1,1240,24,217672943,120,A,Major,91,63,58,52,31
1,3995,13,457184829,150,B,Major,49,4,55,7,6
1,7681,13,939844851,174,A,Major,47,27,78,11,10
1,4427,4,726434358,202,A#,Major,34,25,51,69,18
2,4657,18,573633020,153,B,Minor,56,42,52,5,36
1,10195,20,1406111294,142,F,Major,60,13,37,58,13
2,269,4,71573339,108,A,Minor,84,55,47,26,20
2,214,0,24975653,143,B,Major,83,25,69,4,23
1,845,2,145458418,108,D,Major,67,55,67,60,80
1,20763,27,1424589568,104,F,Minor,95,78,66,3,4
3,1267,20,231332117,93,F#,Minor,84,96,79,43,18
1,2585,32,415932686,105,F#,Minor,65,46,53,16,9
1,6330,6,988515741,170,G#,Major,44,27,32,89,14
3,675,1,50847624,178,C#,Minor,62,56,66,18,12
1,715,0,39893489,176,F#,Minor,50,44,76,10,32
2,327,13,92035115,104,E,Minor,80,38,88,11,11
1,244,12,118810253,85,G,Major,70,83,84,31,47
2,385,4,77233241,117,F#,Minor,77,69,58,39,26
1,1020,35,206399629,80,,Major,52,57,48,86,15
1,1730,3,117747907,98,F,Major,44,36,41,50,38
2,2127,33,266624541,178,C#,Minor,79,58,78,34,11
1,3242,9,293186992,148,A,Major,51,27,33,48,22
1,526,10,139681964,120,D,Major,77,94,66,65,38
1,366,15,123132751,122,E,Minor,68,38,88,1,8
1,472,2,103762518,144,F,Major,74,75,73,42,9
2,432,12,162887075,96,D,Major,93,47,47,33,10
1,271,12,91221625,137,G#,Major,77,35,88,16,17
1,816,4,190490915,121,F#,Minor,94,71,61,12,53
2,1169,0,96180277,119,A,Minor,60,10,57,1,50
1,1282,6,185240616,96,D,Major,72,40,47,71,13
1,6587,34,885093467,111,C#,Major,87,53,52,66,11
2,1444,4,104992946,148,A,Major,90,74,68,14,10
2,356,10,147290338,182,A,Major,57,80,59,8,6
1,10147,30,1302184087,141,D,Major,79,82,86,28,4
2,265,6,158950978,145,E,Minor,76,80,81,19,6
2,351,9,76910644,110,B,Minor,76,26,70,1,41
