released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%
2,2,200,4,90025258,123,70,86,68,24,11
12,3,3741,17,652704649,131,77,84,71,35,15
1,1,32502,21,1829992958,171,70,6,73,1,36
5,26,7615,14,655466831,130,80,64,76,2,20
3,2,1208,34,146409671,94,82,53,67,34,9
4,7,209,4,95816024,89,73,44,57,39,32
3,17,1235,9,117206995,87,65,71,56,4,15
3,22,654,3,100409613,124,72,79,78,55,15
3,27,1479,0,80758350,78,71,80,65,51,22
11,1,4942,26,325592432,120,70,70,79,7,18
3,31,709,0,58473276,96,48,50,80,40,37
3,25,660,0,52722996,106,73,22,86,31,12
12,24,489,17,191945597,170,78,75,46,62,12
3,24,407,0,77377503,134,67,11,76,8,30
5,20,7461,8,743693613,115,71,90,73,30,11
12,9,993,4,267789608,130,74,79,87,45,30
3,20,9161,5,1221813483,118,65,63,79,3,10
4,22,3282,12,449701773,110,59,22,38,42,12
3,29,596,0,67070410,100,72,42,66,18,19
3,14,320,6,116334601,142,70,76,79,26,11
10,21,2612,4,433356509,140,64,18,37,72,12
2,10,2040,4,165584767,116,90,96,73,62,9
5,13,2128,9,367814306,120,73,64,85,25,61
4,1,2598,37,477033549,92,76,46,79,31,7
10,26,542,2,156214700,110,81,64,79,5,31
1,21,2459,20,448843705,120,71,57,97,1,13
7,11,10624,17,1357608774,80,63,40,61,9,56
11,13,2418,26,294352144,115,95,43,69,47,9
11,28,7536,7,972164968,76,58,46,67,65,13
2,20,10431,7,920045682,172,60,77,78,45,12
9,9,15722,16,2420461338,99,40,45,56,69,9
5,27,25744,4,1947371785,136,36,12,57,9,14
5,10,1640,0,244658767,150,90,64,14,67,11
4,7,34,0,68216992,92,71,41,31,79,10
12,15,1845,16,223582566,95,77,72,87,17,7
7,25,3301,30,471819764,102,83,58,83,21,10
12,9,1911,0,272377463,145,70,34,55,43,16
3,24,20111,5,1361425037,110,50,24,86,0,64
2,24,1529,0,149778242,95,64,30,77,46,38
3,3,615,2,116599790,94,68,81,82,53,9
12,2,811,4,148469433,142,61,92,91,0,26
8,5,5730,10,497225336,145,59,20,74,1,15
3,3,356,4,88791109,121,64,67,80,0,36
3,3,604,6,125917280,140,66,43,76,49,12
2,23,1190,0,105062254,137,84,44,67,8,11
1,31,579,0,95623148,104,56,72,85,0,15
2,17,1553,2,144584800,92,57,68,76,7,33
12,15,2301,20,298063749,146,74,51,45,86,21
1,23,134,4,166570053,120,56,20,43,89,12
1,31,430,0,83021468,144,68,83,81,9,8
11,5,86,0,139836056,94,59,44,56,80,6
10,31,629,14,303216294,94,73,65,79,5,11
12,15,1701,15,221409663,113,79,66,74,8,11
3,3,329,0,58890931,148,50,49,76,12,12
3,3,1168,0,81419389,98,70,29,73,12,11
5,31,162,6,156777415,140,58,26,38,91,10
12,9,2536,6,284908316,100,36,28,28,81,18
2,23,387,11,93438910,140,86,68,79,39,11
8,1,892,17,363472647,100,59,78,94,27,29
1,1,3909,0,372476382,100,59,49,65,2,13
10,19,3645,15,380726517,132,87,82,70,42,21
3,3,282,0,56533272,142,49,48,67,10,26
1,20,888,22,175399345,176,72,96,63,25,21
5,6,968,4,203221468,140,53,51,70,49,14
10,24,25065,6,1624165576,105,55,40,90,1,32
12,8,531,4,134294498,135,81,97,77,75,35
7,28,242,0,70069745,128,82,61,59,30,12
6,3,5281,14,609293408,101,74,43,69,12,12
5,6,2590,30,671365962,122,88,43,50,7,14
9,8,1769,34,362361576,105,76,49,56,80,10
12,23,454,4,93587665,83,53,40,36,73,11
9,3,6180,7,1223481149,77,72,59,76,24,42
8,25,3600,11,1022258230,140,75,18,25,78,11
11,3,1254,6,263453310,158,65,72,95,31,92
6,28,6398,31,1435127549,176,75,43,65,15,11
10,20,660,15,236857112,98,73,88,57,56,5
1,27,1283,0,147538971,107,66,47,40,72,11
2,19,8084,6,698086140,109,66,16,57,10,12
7,15,2332,2,723894473,109,84,72,74,10,34
3,3,203,0,34450974,148,53,61,81,5,36
5,20,685,14,403097450,158,60,52,76,17,19
9,29,2460,13,309483971,94,74,64,73,6,10
10,12,288,6,319566866,96,70,40,51,35,10
5,6,4572,33,909001996,100,80,29,67,29,12
9,24,6127,13,1061966512,105,58,42,68,1,14
3,3,166,0,32526947,125,53,32,66,38,9
